country,retail_min,retail_mean,retail_max,retail_std,grocery_min,grocery_mean,grocery_max,grocery_std,park_min,park_mean,park_max,park_std,station_min,station_mean,station_max,station_std,residential_min,residentia_mean,residentia_max,residentia_std,workplace_min,workplace_mean,workplace_max,workplace_std
Australia,-77,-16.93495935,16,12.10595041,-82,-1.181571816,51,10.05147115,-52,-13.64769648,28,13.58244927,-77,-39.32791328,14,15.89168303,-3,8.333333333,33,5.150315064,-82,-17.59349593,17,14.72429775
Belgium,-86,-33.39566396,13,24.43609181,-83,-8.463414634,40,14.29023167,-66,24.94850949,252,45.78978779,-80,-34.7696477,9,18.11686095,-2,11.73712737,37,7.531955654,-88,-30.80216802,17,20.97866759
Brazil,-76,-31.08672087,9,17.93402732,-59,4.929539295,67,15.37024261,-75,-30.49593496,69,17.50696678,-69,-26.37669377,26,18.3127482,-2,9.761517615,27,5.218534186,-72,-12.65853659,22,16.8309767
Canada,-85,-25.46612466,13,16.92097258,-78,-5.598915989,40,12.58064927,-33,51.33604336,234,66.14868549,-82,-47.45257453,6,16.92270168,-2,11.77506775,33,6.699983947,-86,-32.63685637,7,18.83240438
Czech Republic,-90,-27.12737127,19,28.99458007,-91,1.27100271,46,19.48294367,-62,24.25474255,160,48.32192336,-73,-22.53116531,14,19.5331621,-9,6.807588076,31,7.778669108,-87,-21.25745257,14,18.13294341
Denmark,-83,-9.921409214,33,21.61292402,-74,-4.756097561,25,10.62109788,-40,96.45257453,406,98.92272613,-71,-29.82655827,12,18.19756824,-5,6.509485095,24,6.153901709,-88,-25.24119241,13,19.85076667
Estonia,-74,-12.08130081,29,19.48549325,-52,0.696476965,34,11.063503,-40,50.85185185,309,68.08165653,-61,-17.23577236,22,16.782725,-13,4.853658537,27,6.995565293,-88,-23.16260163,12,18.41910784
Finland,-81,-17.50406504,9,16.63690382,-69,-2.533875339,37,10.32976946,-24,84.76693767,517,88.58587854,-76,-35.84281843,4,13.88267559,-13,5.850948509,26,5.97755562,-86,-25.34146341,32,19.67148732
France,-91,-33.18428184,11,26.81430011,-87,-7.975609756,46,19.39412789,-82,20.03794038,248,71.66864185,-88,-33.46341463,14,24.02458971,-4,10.42547425,42,9.337136354,-89,-30.7696477,20,21.2097168
Germany,-87,-26.55826558,15,24.14168865,-94,-3.826558266,50,18.96615869,-49,47.78319783,264,54.07208518,-75,-28.90514905,10,16.90445654,-4,7.563685637,29,5.807842886,-88,-22.5799458,15,16.83346547
Ireland,-94,-40.08401084,22,24.07161828,-92,-4.826558266,55,12.56537374,-69,10.00542005,193,38.8111259,-86,-45.82384824,4,19.1742509,-1,14.49593496,35,8.218929157,-86,-37.11653117,3,20.33179983
Italy,-96,-32.80216802,5,27.41839621,-94,-14.63414634,46,20.73236409,-91,6.387533875,198,61.18933216,-91,-38.45257453,11,22.44447651,-7,10.57723577,41,10.0527132,-90,-30.67750678,12,19.3763625
Japan,-48,-13.66937669,21,10.76349143,-41,-0.463414634,17,5.144986271,-56,-5.325203252,76,17.10805573,-69,-26.71273713,2,12.20195352,0,7.308943089,32,4.780487805,-84,-14.83468835,4,13.82085498
Luxembourg,-94,-34.95121951,2,24.55010484,-95,-13.76839237,51,19.63573685,-70,19.89244186,204,57.5352526,-85,-29.79403794,15,20.87245737,-3,12.50953678,44,9.244147809,-92,-33.91256831,9,21.89937259
Mexico,-71,-34.59891599,7,15.47973932,-41,-9.111111111,31,9.412331824,-60,-35.93495935,10,13.59722981,-72,-38.51490515,7,16.19362583,-2,12.32520325,30,5.988918314,-74,-25.45799458,12,17.59416007
Netherlands,-83,-24.20325203,21,21.66070938,-77,-5.292682927,24,10.02846764,-59,58.47154472,286,71.44258694,-75,-43.38753388,10,15.82779815,-1,9.178861789,27,5.493577211,-85,-26.80216802,24,19.26569035
New Zealand,-95,-15.66124661,32,29.57937536,-91,-8.181571816,62,15.03751719,-81,-21.71815718,60,26.31643424,-89,-36.74254743,18,22.28179601,-3,7.596205962,42,8.900661449,-88,-12.30081301,34,24.69782748
Norway,-88,-12.73170732,26,20.36512502,-92,1.964480874,127,19.91625488,-50,60.08943089,314,73.42891127,-77,-31.56368564,7,16.61200413,-6,6.319783198,27,5.981512979,-87,-26.23848238,1,18.08778755
Philippines,-90,-47.86178862,7,20.59086224,-78,-21.7696477,40,18.85268953,-66,-29.78590786,11,15.73803901,-90,-55.19783198,1,18.63459485,0,21.13821138,43,8.269831419,-82,-37.18699187,9,19.88558721
Singapore,-70,-27.07317073,-4,18.49712674,-35,-3.940379404,25,10.27068451,-73,-25.11924119,35,20.60696553,-75,-34.79132791,-9,15.83732789,5,19.52303523,55,10.96360748,-83,-25.75067751,7,21.11775363
Slovakia,-93,-30.05691057,20,29.39773994,-92,-9.409214092,30,23.94410885,-71,40.06504065,272,62.55080188,-82,-30.58536585,17,21.73900127,-7,7.604336043,37,7.764178928,-88,-25.15718157,11,18.23951482
Spain,-96,-38.3495935,7,26.34294887,-90,-12.33604336,35,20.92264308,-90,-5.368563686,86,40.56450834,-92,-38.11653117,14,21.66197505,-3,10.39837398,42,9.094272748,-90,-30.6097561,9,21.32734957
Sweden,-74,-12.71544715,20,14.23240338,-58,-2.848238482,39,8.834445605,-30,82.02168022,380,94.46081229,-70,-29.96205962,6,13.78203033,-6,6.601626016,26,5.059119064,-85,-24.08130081,9,18.71636539
Switzerland,-88,-29.54471545,14,23.65512785,-90,-4.27173913,37,15.90331061,-51,28.9403794,182,50.89099591,-68,-25.85907859,14,15.50563077,-4,8.544715447,34,6.806164947,-86,-23.94850949,0,15.14751508
Taiwan,-28,-8.319783198,10,6.346000508,-12,2.98102981,27,5.594922981,-47,-4.113821138,85,17.59520903,-36,-13.78861789,12,6.420561524,-5,1.815718157,16,2.787636678,-78,-2.165311653,67,14.99674002
United Kingdom,-92,-42.78319783,10,23.59887553,-89,-14.30081301,24,12.24784808,-54,21.51219512,152,40.40406333,-85,-46.85907859,5,18.00005059,-1,13.81842818,32,7.478031908,-85,-38.61788618,1,19.61824837
United States,-82,-19.6802168,13,12.50867077,-61,-5.539295393,27,8.518381244,-38,14.95121951,86,30.75751487,-67,-32.39566396,7,12.77364252,-2,9.764227642,27,5.510396138,-83,-29.70189702,5,14.88503447
