date,jp_nikkei,jp_covid
2020/7/1,22121.73,125
2020/7/2,22145.96,194
2020/7/3,22306.48,249
2020/7/6,22714.44,174
2020/7/7,22614.69,203
2020/7/8,22438.65,203
2020/7/9,22529.29,352
2020/7/10,22290.81,418
2020/7/13,22784.74,246
2020/7/14,22587.01,326
2020/7/15,22945.5,438
2020/7/16,22770.36,619
2020/7/17,22696.42,588
2020/7/20,22717.48,405
2020/7/21,22884.22,618
2020/7/22,22751.61,792
2020/7/27,22715.85,583
2020/7/28,22657.38,971
2020/7/29,22397.11,1245
2020/7/30,22339.23,1305
2020/7/31,21710,1575
2020/8/3,22195.38,941
2020/8/4,22573.66,1240
2020/8/5,22514.85,1344
2020/8/6,22418.15,1479
2020/8/7,22329.94,1597
2020/8/11,22750.24,691
2020/8/12,22843.96,969
2020/8/13,23249.61,1175
2020/8/14,23289.36,1355
2020/8/17,23096.75,630
2020/8/18,23051.08,903
2020/8/19,23110.61,1078
2020/8/20,22880.62,1176
2020/8/21,22920.3,1035
2020/8/24,22985.51,491
2020/8/25,23296.77,709
2020/8/26,23290.86,893
2020/8/27,23208.86,870
2020/8/28,22882.65,869
2020/8/31,23139.76,430
2020/9/1,23138.07,624
2020/9/2,23247.15,585
2020/9/3,23465.53,654
2020/9/4,23205.43,582
2020/9/7,23089.95,285
2020/9/8,23274.13,510
2020/9/9,23032.54,507
2020/9/10,23235.47,709
2020/9/11,23406.49,637
2020/9/14,23559.3,262
2020/9/15,23454.89,530
2020/9/16,23475.53,543
2020/9/17,23319.37,478
2020/9/18,23360.3,569
2020/9/23,23346.49,216
2020/9/24,23087.82,475
2020/9/25,23204.62,567
2020/9/28,23511.62,294
2020/9/29,23539.1,527
2020/9/30,23185.12,569
2020/10/1,23185.12,619
2020/10/2,23029.9,537
2020/10/5,23312.14,269
2020/10/6,23433.73,495
2020/10/7,23422.82,502
2020/10/8,23647.07,623
2020/10/9,23619.69,594
2020/10/12,23558.69,272
2020/10/13,23601.78,491
2020/10/14,23626.73,550
2020/10/15,23507.23,703
2020/10/16,23410.63,633
2020/10/19,23671.13,313
2020/10/20,23567.04,475
2020/10/21,23639.46,611
2020/10/22,23474.27,609
2020/10/23,23516.59,742
2020/10/26,23494.34,401
2020/10/27,23485.8,646
2020/10/28,23418.51,724
2020/10/29,23331.94,803
2020/10/30,22977.13,767
2020/11/2,23295.48,480
2020/11/4,23695.23,606
2020/11/5,24105.28,1046
2020/11/6,24325.23,1137
2020/11/9,24839.84,770
2020/11/10,24905.59,1276
2020/11/11,25349.6,1540
2020/11/12,25520.88,1624
2020/11/13,25385.87,1703
2020/11/16,25906.93,949
2020/11/17,26014.62,1685
2020/11/18,25728.14,2173
2020/11/19,25634.34,2382
2020/11/20,25527.37,2425
2020/11/24,26165.59,1219
2020/11/25,26296.86,1925
2020/11/26,26537.31,2494
2020/11/27,26644.71,2510
2020/11/30,26433.62,1425
2020/12/1,26787.54,2014
2020/12/2,26800.98,2419
2020/12/3,26809.37,2505
2020/12/4,26751.24,2435
2020/12/7,26547.44,1502
2020/12/8,26467.08,2166
2020/12/9,26817.94,2801
2020/12/10,26756.24,2966
2020/12/11,26652.52,2795
2020/12/14,26732.44,1681
2020/12/15,26687.84,2400
2020/12/16,26757.4,2990
2020/12/17,26806.67,3206
2020/12/18,26763.39,2832
2020/12/21,26714.42,1791
2020/12/22,26436.39,2674
2020/12/23,26524.79,3270
2020/12/24,26668.35,3797
2020/12/25,26656.61,3934
2020/12/28,26854.03,2397
2020/12/29,27568.15,3609
2020/12/30,27444.17,3884
2021/1/4,27258.38,3330
2021/1/5,27158.63,4958
2021/1/6,27055.94,6066
2021/1/7,27490.13,7793
2021/1/8,28139.03,8045
2021/1/12,28164.34,4630
2021/1/13,28456.59,6086
2021/1/14,28698.26,6749
2021/1/15,28519.18,6795
2021/1/18,28242.21,4947
2021/1/19,28633.46,5355
2021/1/20,28523.26,5643
2021/1/21,28756.86,5743
2021/1/22,28631.45,4821
2021/1/25,28822.29,2760
2021/1/26,28546.18,3851
2021/1/27,28635.21,3968
2021/1/28,28197.42,4122
2021/1/29,27663.39,3547
2021/2/1,28091.05,1782
2021/2/2,28362.17,2321
2021/2/3,28646.5,2648
2021/2/4,28341.95,2574
2021/2/5,28779.19,2371
2021/2/8,29388.5,1215
2021/2/9,29505.93,1568
2021/2/10,29562.93,1885
2021/2/12,29520.07,1297
2021/2/15,30084.15,964
2021/2/16,30467.75,1305
2021/2/17,30292.19,1443
